gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
UCP3	2.16e+00	-0.73	0.88	-8.29e-01	4.07e-01	1.00e+00
UEVLD	2.50e+02	-0.09	0.14	-6.17e-01	5.37e-01	1.00e+00
UFC1	2.25e+02	-0.15	0.11	-1.33e+00	1.84e-01	1.00e+00
UFD1	4.39e+02	0.01	0.10	8.10e-02	9.35e-01	1.00e+00
UFL1	4.47e+02	0.02	0.07	3.49e-01	7.27e-01	1.00e+00
UFM1	1.04e+03	0.02	0.08	2.55e-01	7.99e-01	1.00e+00
UFSP1	1.09e+00	0.84	1.20	6.95e-01	4.87e-01	1.00e+00
UFSP2	2.00e+02	0.01	0.12	6.28e-02	9.50e-01	1.00e+00
UGCG	2.48e+02	0.13	0.12	1.13e+00	2.59e-01	1.00e+00
UGDH	6.76e+02	0.00	0.09	4.02e-02	9.68e-01	1.00e+00
UGGT1	1.49e+03	0.01	0.08	1.83e-01	8.55e-01	1.00e+00
UGGT2	3.14e+02	0.02	0.09	2.59e-01	7.96e-01	1.00e+00
UGP2	6.40e+02	-0.06	0.08	-7.49e-01	4.54e-01	1.00e+00
UGT2B17	3.91e-01	0.82	1.72	4.74e-01	6.36e-01	1.00e+00
UGT3A2	5.84e+00	-0.39	0.55	-7.15e-01	4.75e-01	1.00e+00
UGT8	1.72e+01	0.31	0.28	1.09e+00	2.74e-01	1.00e+00
UHMK1	6.63e+02	0.09	0.12	7.29e-01	4.66e-01	1.00e+00
UHRF1	1.04e+03	0.01	0.09	7.02e-02	9.44e-01	1.00e+00
UHRF1BP1	3.03e+02	0.07	0.11	6.47e-01	5.17e-01	1.00e+00
UHRF1BP1L	1.92e+02	-0.10	0.09	-1.16e+00	2.46e-01	1.00e+00
UHRF2	4.51e+02	-0.04	0.07	-6.13e-01	5.40e-01	1.00e+00
UIMC1	3.32e+02	-0.14	0.10	-1.44e+00	1.51e-01	1.00e+00
ULBP1	2.72e+00	-1.27	0.91	-1.39e+00	1.64e-01	1.00e+00
ULBP2	1.62e+01	-0.14	0.33	-4.41e-01	6.59e-01	1.00e+00
ULBP3	1.54e+03	0.23	0.40	5.64e-01	5.73e-01	1.00e+00
ULK1	1.89e+02	0.04	0.11	3.88e-01	6.98e-01	1.00e+00
ULK2	1.28e+02	-0.19	0.13	-1.52e+00	1.27e-01	1.00e+00
ULK3	1.01e+02	0.13	0.15	8.75e-01	3.81e-01	1.00e+00
ULK4	2.84e+01	-0.06	0.25	-2.25e-01	8.22e-01	1.00e+00
UMAD1	4.01e+01	0.19	0.23	7.91e-01	4.29e-01	1.00e+00
UMPS	5.08e+02	0.08	0.08	1.01e+00	3.14e-01	1.00e+00
UNC119	2.36e+01	-0.46	0.26	-1.78e+00	7.54e-02	1.00e+00
UNC119B	4.97e+02	-0.04	0.09	-4.32e-01	6.66e-01	1.00e+00
UNC13A	1.16e+02	-0.05	0.17	-3.05e-01	7.60e-01	1.00e+00
UNC13B	4.38e+02	-0.05	0.10	-5.73e-01	5.67e-01	1.00e+00
UNC13C	1.56e+00	0.95	0.92	1.03e+00	3.02e-01	1.00e+00
UNC13D	7.16e+00	0.17	0.46	3.76e-01	7.07e-01	1.00e+00
UNC45A	1.03e+03	-0.10	0.10	-1.09e+00	2.77e-01	1.00e+00
UNC45B	1.43e+00	0.19	1.05	1.84e-01	8.54e-01	1.00e+00
UNC50	2.18e+02	0.02	0.11	1.80e-01	8.57e-01	1.00e+00
UNC5B	1.60e+03	0.05	0.11	4.90e-01	6.24e-01	1.00e+00
UNC5C	6.70e+02	0.22	0.12	1.89e+00	5.84e-02	1.00e+00
UNC5CL	1.32e+00	0.98	1.01	9.74e-01	3.30e-01	1.00e+00
UNC5D	7.50e+00	0.00	0.41	2.65e-03	9.98e-01	1.00e+00
UNC79	7.92e+00	-0.47	0.41	-1.16e+00	2.46e-01	1.00e+00
UNC80	7.81e-01	0.94	1.78	5.30e-01	5.96e-01	1.00e+00
UNC93B1	2.13e+01	-0.19	0.27	-7.06e-01	4.80e-01	1.00e+00
UNG	4.61e+02	-0.03	0.10	-2.81e-01	7.79e-01	1.00e+00
UNK	1.05e+02	0.14	0.15	8.89e-01	3.74e-01	1.00e+00
UNKL	9.20e+01	0.20	0.15	1.28e+00	1.99e-01	1.00e+00
UPB1	1.58e+00	0.15	1.11	1.39e-01	8.89e-01	1.00e+00
UPF1	6.56e+02	0.02	0.07	2.82e-01	7.78e-01	1.00e+00
UPF2	6.92e+02	-0.06	0.10	-5.96e-01	5.51e-01	1.00e+00
UPF3A	2.36e+02	-0.11	0.12	-9.51e-01	3.41e-01	1.00e+00
UPF3B	4.87e+02	0.06	0.12	5.28e-01	5.97e-01	1.00e+00
UPK1B	1.38e+00	1.82	1.08	1.69e+00	9.17e-02	1.00e+00
UPK2	4.18e-01	-0.93	2.02	-4.64e-01	6.43e-01	1.00e+00
UPK3B	8.24e-01	1.45	1.50	9.69e-01	3.32e-01	1.00e+00
UPK3BL1	9.67e-01	-3.25	3.01	-1.08e+00	2.81e-01	1.00e+00
UPK3BL2	7.51e+00	0.98	0.58	1.69e+00	9.19e-02	1.00e+00
UPP1	1.89e+02	0.18	0.12	1.43e+00	1.52e-01	1.00e+00
UPRT	2.58e+02	0.08	0.12	6.79e-01	4.97e-01	1.00e+00
UQCC1	1.51e+02	-0.06	0.11	-5.14e-01	6.07e-01	1.00e+00
UQCC2	1.02e+02	-0.15	0.12	-1.26e+00	2.07e-01	1.00e+00
UQCC3	3.08e+01	-0.04	0.24	-1.65e-01	8.69e-01	1.00e+00
UQCR10	6.67e+01	-0.32	0.20	-1.60e+00	1.11e-01	1.00e+00
UQCR11	1.87e+02	-0.09	0.19	-4.43e-01	6.58e-01	1.00e+00
UQCRB	8.96e+02	-0.00	0.07	-5.17e-02	9.59e-01	1.00e+00
UQCRC1	5.51e+02	-0.08	0.09	-9.17e-01	3.59e-01	1.00e+00
UQCRC2	6.46e+02	-0.04	0.10	-4.57e-01	6.47e-01	1.00e+00
UQCRFS1	2.02e+02	-0.04	0.12	-3.60e-01	7.19e-01	1.00e+00
UQCRH	5.17e+02	-0.11	0.09	-1.15e+00	2.50e-01	1.00e+00
UQCRQ	3.29e+02	-0.04	0.11	-3.48e-01	7.28e-01	1.00e+00
URB1	3.25e+02	0.11	0.10	1.06e+00	2.90e-01	1.00e+00
URB2	1.40e+02	-0.04	0.13	-3.18e-01	7.50e-01	1.00e+00
URGCP	1.97e+02	-0.11	0.11	-9.74e-01	3.30e-01	1.00e+00
URGCP-MRPS24	7.22e+00	0.09	2.88	3.04e-02	9.76e-01	1.00e+00
URI1	3.67e+02	0.03	0.10	2.65e-01	7.91e-01	1.00e+00
URM1	1.57e+02	-0.16	0.14	-1.13e+00	2.61e-01	1.00e+00
UROD	3.20e+02	-0.00	0.13	-3.22e-02	9.74e-01	1.00e+00
UROS	6.97e+02	-0.03	0.12	-2.46e-01	8.06e-01	1.00e+00
USB1	1.40e+02	0.05	0.11	4.76e-01	6.34e-01	1.00e+00
USE1	5.68e+01	-0.13	0.17	-7.80e-01	4.36e-01	1.00e+00
USF1	2.26e+02	-0.21	0.11	-1.88e+00	5.97e-02	1.00e+00
USF2	2.47e+02	-0.19	0.13	-1.51e+00	1.32e-01	1.00e+00
USF3	2.26e+02	0.18	0.16	1.15e+00	2.52e-01	1.00e+00
USH1G	4.76e-01	0.61	1.66	3.65e-01	7.15e-01	1.00e+00
USH2A	6.25e-01	-0.10	1.48	-6.63e-02	9.47e-01	1.00e+00
USHBP1	1.79e+02	-0.04	0.15	-2.56e-01	7.98e-01	1.00e+00
USO1	9.65e+02	0.06	0.07	7.89e-01	4.30e-01	1.00e+00
USP1	5.43e+02	0.15	0.08	1.81e+00	6.99e-02	1.00e+00
