gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
SLCO4C1	1.62e+01	0.29	0.29	9.95e-01	3.20e-01	1.00e+00
SLCO5A1	2.62e+00	0.83	0.80	1.04e+00	2.98e-01	1.00e+00
SLCO6A1	2.71e+00	0.09	0.82	1.06e-01	9.16e-01	1.00e+00
SLFN11	1.51e+01	0.32	0.34	9.40e-01	3.47e-01	1.00e+00
SLFN12	1.20e+02	0.10	0.10	9.22e-01	3.56e-01	1.00e+00
SLFN12L	3.61e+01	0.06	0.22	2.86e-01	7.75e-01	1.00e+00
SLFN5	1.46e+03	0.03	0.13	2.02e-01	8.40e-01	1.00e+00
SLFNL1	1.84e+00	1.16	0.89	1.30e+00	1.94e-01	1.00e+00
SLITRK1	1.33e+01	0.01	0.33	2.14e-02	9.83e-01	1.00e+00
SLITRK2	4.61e+00	0.22	0.67	3.34e-01	7.39e-01	1.00e+00
SLITRK6	2.23e+00	0.27	0.94	2.88e-01	7.73e-01	1.00e+00
SLU7	4.28e+02	0.05	0.10	5.03e-01	6.15e-01	1.00e+00
SLX1B	1.89e+00	4.59	2.99	1.54e+00	1.24e-01	1.00e+00
SLX4IP	7.90e+01	0.09	0.13	6.79e-01	4.97e-01	1.00e+00
SMAD2	8.65e+02	0.01	0.08	1.47e-01	8.83e-01	1.00e+00
SMAD3	6.92e+02	0.16	0.08	2.07e+00	3.82e-02	1.00e+00
SMAD4	6.02e+02	0.03	0.08	3.49e-01	7.27e-01	1.00e+00
SMAD5	6.73e+02	0.01	0.10	1.05e-01	9.17e-01	1.00e+00
SMAD6	1.33e+03	0.08	0.11	7.52e-01	4.52e-01	1.00e+00
SMAGP	5.66e+01	0.02	0.20	1.18e-01	9.06e-01	1.00e+00
SMAP2	3.22e+02	0.07	0.11	6.91e-01	4.89e-01	1.00e+00
SMARCAD1	6.46e+02	0.05	0.07	7.60e-01	4.47e-01	1.00e+00
SMARCC1	3.34e+03	0.02	0.05	4.42e-01	6.58e-01	1.00e+00
SMARCC2	1.33e+03	0.01	0.12	1.03e-01	9.18e-01	1.00e+00
SMARCD1	2.38e+02	0.01	0.11	1.01e-01	9.20e-01	1.00e+00
SMARCD2	3.80e+02	0.01	0.12	9.35e-02	9.25e-01	1.00e+00
SMARCD3	8.73e+00	0.21	0.40	5.30e-01	5.96e-01	1.00e+00
SMCHD1	8.59e+02	0.11	0.11	9.78e-01	3.28e-01	1.00e+00
SMCO2	1.82e+00	1.64	1.12	1.46e+00	1.45e-01	1.00e+00
SMG1	1.30e+03	0.02	0.14	1.38e-01	8.90e-01	1.00e+00
SMG7	8.06e+02	0.03	0.10	3.03e-01	7.62e-01	1.00e+00
SMG8	2.09e+02	0.09	0.10	8.95e-01	3.71e-01	1.00e+00
SMG9	9.53e+01	0.03	0.12	2.71e-01	7.86e-01	1.00e+00
SMIM10L1	4.60e+02	0.03	0.07	3.57e-01	7.21e-01	1.00e+00
SMIM10L2A	9.35e+01	0.07	0.20	3.42e-01	7.32e-01	1.00e+00
SMIM10L2B	1.19e+01	0.90	0.38	2.37e+00	1.77e-02	1.00e+00
SMIM12	6.28e+02	0.03	0.08	3.87e-01	6.99e-01	1.00e+00
SMIM13	2.50e+02	0.08	0.12	6.81e-01	4.96e-01	1.00e+00
SMIM14	2.29e+02	0.13	0.14	9.22e-01	3.57e-01	1.00e+00
SMIM15	6.33e+02	0.04	0.09	4.50e-01	6.53e-01	1.00e+00
SMIM17	1.11e+01	0.27	0.41	6.63e-01	5.07e-01	1.00e+00
SMIM24	4.01e+00	0.11	0.68	1.63e-01	8.70e-01	1.00e+00
SMIM27	2.74e+00	1.55	0.68	2.29e+00	2.23e-02	1.00e+00
SMIM29	1.56e+01	0.34	0.30	1.12e+00	2.62e-01	1.00e+00
SMIM3	3.28e+01	0.33	0.24	1.38e+00	1.67e-01	1.00e+00
SMIM38	3.07e+00	2.18	0.77	2.84e+00	4.54e-03	1.00e+00
SMIM4	4.28e+02	0.09	0.11	7.74e-01	4.39e-01	1.00e+00
SMIM41	2.85e+00	1.53	0.77	2.00e+00	4.58e-02	1.00e+00
SMIM5	7.20e-01	0.65	1.52	4.30e-01	6.67e-01	1.00e+00
SMIM7	3.54e+02	0.07	0.09	7.32e-01	4.64e-01	1.00e+00
SMNDC1	2.94e+02	0.13	0.10	1.28e+00	1.99e-01	1.00e+00
SMOX	1.46e+02	0.17	0.15	1.11e+00	2.66e-01	1.00e+00
SMPDL3A	3.63e+01	0.29	0.21	1.37e+00	1.69e-01	1.00e+00
SMS	2.60e+03	0.01	0.08	7.07e-02	9.44e-01	1.00e+00
SMU1	7.92e+02	0.03	0.06	4.84e-01	6.28e-01	1.00e+00
SMURF1	2.52e+02	0.03	0.09	2.67e-01	7.89e-01	1.00e+00
SMURF2	1.33e+03	0.12	0.09	1.35e+00	1.76e-01	1.00e+00
SMYD4	9.47e+01	0.01	0.12	5.78e-02	9.54e-01	1.00e+00
SNAI2	6.90e+02	0.10	0.14	7.57e-01	4.49e-01	1.00e+00
SNAP23	1.19e+03	0.08	0.10	8.58e-01	3.91e-01	1.00e+00
SNAP25	1.78e+01	0.10	0.32	3.05e-01	7.60e-01	1.00e+00
SNAP91	1.92e+01	0.55	0.39	1.41e+00	1.58e-01	1.00e+00
SNAPC1	2.15e+02	0.09	0.13	7.17e-01	4.74e-01	1.00e+00
SNAPC3	4.16e+02	0.10	0.10	1.04e+00	2.96e-01	1.00e+00
SNAPC4	1.64e+02	0.07	0.14	4.62e-01	6.44e-01	1.00e+00
SNED1	1.04e+01	0.13	0.47	2.81e-01	7.79e-01	1.00e+00
SNIP1	2.59e+02	0.04	0.08	5.00e-01	6.17e-01	1.00e+00
SNN	7.54e+02	0.06	0.09	6.67e-01	5.05e-01	1.00e+00
SNORC	1.13e+00	0.23	1.37	1.71e-01	8.64e-01	1.00e+00
SNPH	5.21e+01	0.10	0.23	4.43e-01	6.58e-01	1.00e+00
SNRNP27	7.21e+02	0.04	0.07	5.35e-01	5.93e-01	1.00e+00
SNRNP35	1.02e+02	0.15	0.20	7.27e-01	4.67e-01	1.00e+00
SNRNP48	2.34e+02	0.05	0.11	4.12e-01	6.80e-01	1.00e+00
SNRPB2	8.92e+02	0.08	0.12	6.79e-01	4.97e-01	1.00e+00
SNRPD3	2.41e+03	0.04	0.09	4.42e-01	6.58e-01	1.00e+00
SNRPN	3.32e+02	0.01	0.10	7.62e-02	9.39e-01	1.00e+00
SNTB2	1.80e+02	0.12	0.13	9.30e-01	3.52e-01	1.00e+00
SNUPN	8.89e+01	0.03	0.13	2.11e-01	8.33e-01	1.00e+00
SNX11	1.30e+02	0.02	0.11	1.55e-01	8.77e-01	1.00e+00
SNX12	3.03e+02	0.03	0.12	2.98e-01	7.66e-01	1.00e+00
SNX13	4.18e+02	0.08	0.10	8.64e-01	3.87e-01	1.00e+00
