	F16	F17	F18	F22	F23	F24
DENND2A	3834.25191910539	4042.9058890166	3801.40413015457	2205.41729762325	3141.47792308282	2104.08885078283
DENND2C	134.873183084109	192.067669800788	182.759813949739	284.771130795839	293.245193724462	252.626300376021
DENND2D	53.7464564169758	0	1.7830225751194	2.07862139267036	0	0
DENND3	787.943332754532	809.766780703324	740.845879962113	1535.06189848706	1528.12201297246	1625.96390644701
DENND4A	713.915194670773	1371.74255530563	1290.01683309889	1296.02043832997	1004.54235912532	1002.02780887402
DENND4B	2391.21026851375	2591.72793941064	2501.58067289252	3198.99832331968	3189.16831790998	2701.74503120261
DENND4C	1488.6754343419	2258.57352450927	2003.22586314665	2865.37958979609	2324.65307551122	2171.90799182338
DENND5A	5379.71606211428	6919.1785244284	6295.85271274662	7750.13986257143	7552.33209996945	7533.85883034127
DENND5B	579.042011586664	923.584659103791	921.822671336732	883.414091884903	891.911852193087	687.5165422985
DENR	2928.67483268351	2988.90491091227	2568.4440194595	2416.39736897929	2455.547988973	2290.59148864433
DEPDC1	157.183032917571	24.8976609001022	60.6227675540598	27.0220781047147	4.05875700656695	0
DEPDC1B	69.9718017504025	61.6513508002531	33.8774289272687	19.7469032303684	6.08813550985042	5.08643557804069
DEPDC4	4.05633633335667	2.37120580000973	3.56604515023881	0	4.05875700656695	0
DEPDC5	491.830780419496	399.54817730164	390.48194395115	593.446407607388	566.196602416089	645.129579148161
DEPDC7	26.3661861668183	23.7120580000973	24.070804764112	29.100699497385	10.1468925164174	11.868349682095
DEPTOR	1979.49213067805	2080.73308950854	1867.71614743758	1705.50885268603	1839.63161322647	980.834327298847
DERA	1058.70378300609	1049.25856650431	764.916684726225	729.596108827296	887.85309518652	679.039149668433
DERL1	3450.92813560318	5023.39948732062	4441.50923462244	4263.25247636691	4311.41463022574	4688.84586369051
DERL2	2123.49207051221	1629.01838460669	2001.44284057153	1659.77918204728	1818.32313894199	1920.12943071036
DERL3	0	0	0	15.5896604450277	15.2203387746261	12.7160889451017
DET1	166.309789667623	200.366890100823	245.165604078918	153.817983057607	201.923161076706	148.354371026187
DEXI	2909.40723510007	2579.87191041059	2851.05309761593	2724.03333509451	3837.55474970905	3331.61530361665
DFFA	1667.15423300959	1280.45113200526	1429.0925939582	1662.89711413629	1877.17511553721	1829.42132956864
DFFB	253.521020834792	270.31746120111	269.23640884303	350.247704664956	241.496041890733	287.383610159299
DFNA5	917.746095421946	901.058204003699	831.780031293202	782.60095434039	604.754793978475	598.503919682788
DFNB31	21.2957657501225	165.984406000681	152.448430172709	126.795904952892	97.4101681576067	86.4694048266918
DFNB59	21.2957657501225	1.18560290000487	9.80662416315672	0	5.07344625820868	3.39095705202713
DGAT1	2829.29459251627	2962.82164711216	2915.24191032023	3081.55621463381	3968.44966317083	3680.03614071244
DGAT2	20.2816816667833	2.37120580000973	16.0472031760746	12.4717283560222	4.05875700656695	6.78191410405426
DGCR14	1168.22486400672	859.562102503529	1045.74274030753	983.18791873308	1241.97964400949	1233.46062767487
DGCR2	7169.57446920791	7750.28615733182	8298.18706460571	7173.32242610541	8643.12304548432	6935.35491065849
DGCR6	457.351921585964	221.70774230091	380.675319787993	202.66558578536	218.158189102973	221.25994764477
DGCR6L	5464.89912511477	4135.38291521698	4424.5705201588	2638.80985799502	3255.12311926669	3401.12992318321
DGCR8	1652.95705584284	1429.83709740587	1436.22468425868	2028.73447924627	2200.86098681093	1860.78768229989
DGKA	853.858798171578	937.81189390385	936.978363225247	1071.52932792157	998.454223615469	1282.62950492926
DGKB	33.4647747501925	27.2688667001119	16.9387144636343	33.2579422827258	33.4847453041773	16.9547852601356
DGKD	860.957386754952	733.888195103013	899.53488914774	4501.25462582766	3454.00221258847	4176.81134883442
DGKE	490.816696336157	569.089392002336	480.52458399468	515.498105382249	504.300558065943	338.247965939706
DGKG	3.0422522500175	0	20.5047596138732	31.1793208900554	26.3819205426852	31.3663527312509
DGKH	122.704174084039	404.29058890166	213.962709014329	611.114689445086	392.684740385352	447.606330867581
DGKI	21.2957657501225	49.7953218002044	47.2500982406642	10.3931069633518	9.13220326477563	27.9753956792238
DGKK	45.6337837502625	27.2688667001119	66.8633465669777	10.3931069633518	6.08813550985042	10.1728711560814
DGKQ	1639.77396275943	1965.72960820807	1993.41923898349	2042.24551829863	2151.14121348048	2080.35215141864
DGKZ	8466.5880117987	8573.09456993519	8715.41434718365	10238.2496695979	11410.1806347113	10525.5306894922
DGUOK	1997.74564417816	1160.70523910476	1472.77664704863	892.767888151919	973.086992324426	1183.44401115747
DHCR24	7081.3491539574	11157.7088919458	13882.6137698797	23720.1880224578	21334.8562050192	36943.6293425726
DHCR7	4604.95582244315	6597.88013852709	8047.67239280143	13700.1935990903	12823.6427622483	18652.8070039382
DHDDS	1567.77399284235	1816.34364280746	1687.63086735052	1897.78133150804	1790.92652914767	2015.07622816712
DHFR	1229.06990900707	1459.47716990599	1342.61599906491	1043.46793912052	1097.89377027636	812.981953223504
DHFRL1	197.746396251137	227.635756800934	192.566438112896	178.761439769651	188.732200805363	160.222720708282
DHH	54.760540500315	16.5984406000681	22.2877821889926	34.2972529790609	20.2937850328347	54.2553128324341
DHODH	324.506906668533	156.499582800642	197.915505838254	101.852448240848	201.923161076706	160.222720708282
DHPS	1723.94294167658	1165.44765070478	1486.14931636202	1331.35700200537	1280.53783557187	1712.4333112737
DHRS1	1004.95732658911	1031.47452300423	1186.60152374196	530.048455130942	699.120894381157	640.890882833127
DHRS11	65.9154654170458	94.8482320003894	117.679489957881	41.5724278534072	26.3819205426852	91.5558404047325
DHRS12	753.464473921001	577.38861230237	535.798283823381	200.58696439269	273.966097943269	198.370987543587
DHRS13	1001.9150743391	943.739908403874	1048.41727417021	619.429175015767	715.355922407425	638.347665044107
