gene_id	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
FAM166B	4	0	0	8	0	0	0	0	1.79	6	0	0
FAM167A	0	3	0	0	8	10	4	0	21	14	4	0
FAM167B	510	96	509	235	187	187	1098	501.08	443	837	462	969
FAM168A	16	204	0	78	130	228	259	79	318	36	225	233
FAM168B	2415.98	3887.55	2163	4345.01	3569	4829.28	5604.15	3478.01	6440.6	3770.85	5075.06	5177.76
FAM169A	113	222	16	226	198	271	236	116	256	157	245	133
FAM169B	0	0	5.01	0	0	0	0	0	4.18	2.99	0	0
FAM170A	0	0	0	0	0	0	0	0	0	0	0	0
FAM170B	0	2	0	8	0	10	0	0	6	0	0	0
FAM171A1	772	2489.01	1094.84	2273	1914	2586	4319.68	1005	3085.19	2479	3080.01	2886
FAM171A2	5443.71	8312.93	6725.14	9464.89	5698.68	5976.21	9513.03	2787	4550.03	7037.43	4862.09	6152
FAM171B	29	402	20	209.74	500	485	1004.37	513.15	1642.02	355	1180.21	837.35
FAM172A	553.99	863.31	422	734	888	1072	987	302.59	879.82	758	989	585.68
FAM173A	3721.63	1825.28	3511.53	2428.25	1706.64	1482.59	1498.69	332	722.85	1527.74	1484.63	1151.01
FAM173B	176	505.01	434	374	397.91	366	678.06	211	378	424	512	567
FAM174A	922	901	502	804	776	483	718	441	685	765	733	706
FAM174B	2975.61	2702.03	2681	2448.92	1831.82	2426.24	1960.16	692.59	1415.06	1619.18	987.07	971.22
FAM175A	172.15	548.26	169.94	537.49	801.67	693.89	353.93	170.26	243.46	272.92	344.36	397.95
FAM175B	351.02	945.92	239	598	781.08	1020.81	1113	676.45	786	809	1091	1423.49
FAM176A	1878.41	2574	1792	1731.34	1862.03	2278.9	550	617.35	357.04	424	441	459
FAM176B	35257.67	11964.64	28677.97	11648.07	9545.87	8320.37	21944.91	11249.77	8645.58	23940.05	14257.22	17752.08
FAM176C	2455	1638.41	1337	1184.84	1365.04	1380	912	708	811.97	934	817.99	1454.83
FAM177A1	839.79	936.49	655.04	943.37	901.77	775.3	1348.17	758.32	1242.54	1079.59	1240.47	1145.44
FAM177B	0	0	0	0	0	0	0	0	0	0	0	0
FAM178A	834	1097	843	1145	1008.89	1281	1642	898	1996.6	572	1020	1214
FAM178B	7	0	39	0	0	0	0	0	0	0	0	0
FAM179A	0	1	0	0	0	2	0	0	4	0	0	0
FAM179B	162	391	252	316	281	509	800.16	340	839	411	631	643.1
FAM180A	0	0	0	0	0	0	0	0	0	0	0	0
FAM180B	0	0	0	0	0	0	0	0	0	0	0	0
FAM181A	0	0	0	0	0	0	0	0	0	0	0	0
FAM181B	66	24	0	45	92	28	38	32	31	40	41	0
FAM183A	7	11	0	14	2	15	6	0	3	3	8	0
FAM184A	285	201	129	266	122.05	178	86	10	166	35	58	73
FAM184B	15.78	17.56	13	31	3	39	29.63	0.09	38.15	34.02	14	14.95
FAM185A	133	126	112	157	111	131	153	111	178	117	64	179
FAM186A	0	0	0	0	0	0	0	0	0	0	0	0
FAM186B	36	0	0	0	16	20	2	0	7	0	0	0
FAM187B	0	0	0	0	0	0	0	0	0	0	0	0
FAM188A	638	1465.72	768	892	1439	1525	1445	545	1223.73	1285	1619.67	1782
FAM188B	64	86	92	116	106	140	157	24	74	48	102.99	121
FAM189A1	763	1528.43	740	1328	1420	1253	1540.99	1013	1439	1084	1317	1301
FAM189A2	374	267	214	287.51	162	274	364.01	222	896.4	330	250	499.99
FAM189B	1850.97	3714.33	1977.78	3730.53	3659.63	4135.28	4873.18	1981	3008.28	3830.61	2578.98	3846.37
FAM18A	166.98	200.31	143.16	222.06	149.19	215.27	130.84	47	81.67	96.37	56.26	50.04
FAM18B1	381.01	481.5	324.88	483.59	519.68	563.05	769.31	560.97	765.87	490.11	841.31	842.76
