	baseMean	log2FoldChange	lfcSE	pvalue	padj
VASH1	15798.2532837284	-0.159349040559265	0.160737230762062	0.27043671512476	0.466874223335012
VASH2	20.372229617811	-0.0681886021507757	0.357713596121171	0.457546756168219	NA
VASN	85.7227450172472	0.146739664134788	0.346594720259037	0.227823563299109	NA
VASP	10358.9721501371	0.0233343389779831	0.201697476491422	0.889997911135046	0.937746891442009
VAT1	47692.5647161757	-0.329892454045662	0.208157793590823	0.0546601001013931	0.194305753636501
VAV1	87.1735700519132	0.169156396560643	0.351829857615485	0.135719350448272	NA
VAV2	495.437003260739	0.259012152011383	0.229563323496221	0.148959569829553	NA
VAV3	2667.39848403936	-0.260814981595356	0.233298572023986	0.148425090766052	0.332587649769169
VAX1	1398.18664032168	0.453694282552679	0.248788037313363	0.0134281421300887	0.095831440556808
VAX2	30.8120551824404	0.0984713394600324	0.351598009808323	0.366894640094323	NA
VBP1	2333.59789397613	0.0528730213363936	0.181659144414693	0.737874986766818	0.843470225573272
VCAN	823.40948252	0.072337983217061	0.273426732923736	0.69284352967195	0.813351595282306
VCL	4942.27755744788	-0.347545156933073	0.253642828513528	0.0588205764756752	0.201054645551713
VCP	31232.2037428157	0.0198992892238401	0.164382132852323	0.892371281669896	0.938985009153391
VCPIP1	500.78721346167	-0.312903572491603	0.255481255139078	0.0890799212756256	NA
VDAC1	4839.48925010492	-0.156832141367104	0.185271043598018	0.327236571745462	0.522721047347426
VDAC2	8437.7067052299	0.0547897170465886	0.185100133859012	0.731998581448393	0.83906778564688
VDAC3	6892.27451624926	-0.000256365468675184	0.179338231710199	0.998693837407977	0.999076332175273
VDR	7.1293166461874	-0.0334247155335203	0.366230013924235	0.567269471736676	NA
VEGFA	328.207985517747	-0.0180594484715105	0.25759877501929	0.921831712902317	NA
VEGFB	7617.5112554807	0.536208691109328	0.214154296220661	0.00208028900098489	0.0410652206736558
VEGFC	4260.07926421454	0.0501635803496808	0.179356439155288	0.748741409846399	0.85080302893799
VENTX	15.5974604249477	0.136859054043354	0.356391792026495	0.175039313495946	NA
VEPH1	336.460817402368	-0.0453575600659552	0.259759025354694	0.805376427143524	NA
VEZF1	1477.01354112994	-0.202449317914517	0.221066244759447	0.2520794394002	0.44760808682075
